MOVIES,YEAR,GENRE,RATING,STARS,VOTES,RunTime,Gross
I'm Reed Fish,2006,"
Comedy, Drama, Romance            ",5.7,"
    Director:
Zackary Adler
| 
    Stars:
Jay Baruchel, 
Alexis Bledel, 
Victor Rasuk, 
Schuyler Fisk
","4,283",93.0,0.0
The Hunting Ground,2015,"
Documentary            ",7.4,"
    Director:
Kirby Dick
| 
    Stars:
Andrea Pino, 
Annie Clark, 
Claire Potter, 
Melinda Manning
","6,072",103.0,0.41
Somm,2012,"
Documentary            ",7.1,"
    Director:
Jason Wise
| 
    Stars:
Bo Barrett, 
Shayn Bjornholm, 
Dave Cauble, 
Ian Cauble
","4,536",94.0,0.17
Howl,2010,"
Biography, Drama, Romance            ",6.7,"
    Directors:
Rob Epstein, 
Jeffrey Friedman
| 
    Stars:
James Franco, 
Todd Rotondi, 
Jon Prescott, 
Aaron Tveit
","12,757",84.0,0.62
Kevin Hart: What Now?,2016,"
Documentary, Comedy            ",5.9,"
    Directors:
Leslie Small, 
Tim Story
| 
    Stars:
Kevin Hart, 
Don Cheadle, 
Halle Berry, 
Ed Helms
","9,154",96.0,23.59
Aala Kaf Ifrit,2017,"
Crime, Drama, Thriller            ",7.0,"
    Director:
Kaouther Ben Hania
| 
    Stars:
Mariam Al Ferjani, 
Ghanem Zrelli, 
Noomen Hamda, 
Mohamed Akkari
","1,912",100.0,0.01
Interior. Leather Bar.,2013,"
Drama            ",5.1,"
    Directors:
James Franco, 
Travis Mathews
| 
    Stars:
Val Lauren, 
Christian Patrick, 
James Franco, 
Travis Mathews
","2,472",60.0,0.04
The Puffy Chair,2005,"
Comedy, Drama, Romance            ",6.5,"
    Directors:
Jay Duplass, 
Mark Duplass
| 
    Stars:
Mark Duplass, 
Katie Aselton, 
Rhett Wilkins, 
Julie Fischer
","4,978",85.0,0.19
Jonah: A VeggieTales Movie,2002,"
Animation, Adventure, Comedy            ",6.5,"
    Directors:
Mike Nawrocki, 
Phil Vischer
| 
    Stars:
Phil Vischer, 
Mike Nawrocki, 
Tim Hodge, 
Lisa Vischer
","4,038",82.0,25.58
Be Here Now,2015,"
Documentary, Biography, Drama            ",8.6,"
    Director:
Lilibet Foster
| 
    Stars:
Jai Courtney, 
Andy Whitfield, 
Indigo Whitfield, 
Jesse Whitfield
","3,288",100.0,0.02
Wilbur Wants to Kill Himself,2002,"
Comedy, Drama, Romance            ",6.8,"
    Director:
Lone Scherfig
| 
    Stars:
Jamie Sives, 
Adrian Rawlins, 
Shirley Henderson, 
Lisa McKinlay
","7,724",111.0,0.23
The Trial,2010,"
Crime, Drama, Mystery            ",5.6,"
    Director:
Gary Wheeler
| 
    Stars:
Larry Bagby, 
Clare Carey, 
Nikki Deloach, 
David Dwyer
","1,462",101.0,0.02
Grandmaster,2012,"
Action, Thriller            ",7.0,"
    Director:
B. Unnikrishnan
| 
    Stars:
Mohanlal, 
Priyamani, 
Babu Antony, 
Arjun Nandakumar
","2,034",100.0,0.02
The Devil and Father Amorth,2017,"
Documentary, Horror            ",4.6,"
    Director:
William Friedkin
| 
    Stars:
William Friedkin, 
Jeffrey Burton Russell, 
Christina, 
Gabriele Amorth
","2,202",68.0,0.02
Requiem for the American Dream,2015,"
Documentary, Biography, News            ",8.1,"
    Directors:
Peter D. Hutchison, 
Kelly Nyks, 
Jared P. Scott
| 
    Stars:
Noam Chomsky, 
Alan Greenspan, 
Malcolm X, 
Richard Nixon
","9,193",73.0,0.13
Particle Fever,2013,"
Documentary            ",7.4,"
    Director:
Mark Levinson
| 
    Stars:
David Kaplan, 
Fabiola Gianotti, 
Sherwood Boehlert, 
Joel Hefley
","7,271",99.0,0.87
Money,2016,"
Crime, Mystery, Thriller            ",5.5,"
    Director:
Martín Rosete
| 
    Stars:
Jesse Williams, 
Kellan Lutz, 
Jamie Bamber, 
Jess Weixler
","2,806",86.0,1.02
Sufat Chol,2016,"
Drama            ",6.8,"
    Director:
Elite Zexer
| 
    Stars:
Lamis Ammar, 
Ruba Blal, 
Hitham Omari, 
Khadija Al Akel
","3,310",87.0,0.08
Chiisana eiyû: Kani to tamago to tômei ningen,2018,"
Animation, Adventure, Family            ",6.6,"
    Directors:
Yoshiyuki Momose, 
Akihiko Yamashita, 
Hiromasa Yonebayashi
| 
    Stars:
Alex Cazares, 
Jessica DiCicco, 
Scarlett Estevez, 
Todd Haberkorn
","2,308",53.0,0.18
Undefeated,2011,"
Documentary, Sport            ",7.7,"
    Directors:
Daniel Lindsay, 
T.J. Martin
| 
    Stars:
Bill Courtney, 
O.C. Brown, 
Montrail 'Money' Brown, 
Chavis Daniels
","6,897",113.0,0.56
Papa Hemingway in Cuba,2015,"
Biography, Drama            ",6.3,"
    Director:
Bob Yari
| 
    Stars:
Giovanni Ribisi, 
Joely Richardson, 
Adrian Sparks, 
Minka Kelly
","1,450",110.0,1.12
Ethan Frome,1993,"
Drama, Romance            ",6.2,"
    Director:
John Madden
| 
    Stars:
Liam Neeson, 
Patricia Arquette, 
Gil Rood, 
Tate Donovan
","2,056",99.0,0.3
LUV,2012,"
Crime, Drama            ",6.0,"
    Director:
Sheldon Candis
| 
    Stars:
Common, 
Michael Rainey Jr., 
Dennis Haysbert, 
Danny Glover
","2,136",94.0,0.14
Touchy Feely,2013,"
Comedy, Drama            ",5.3,"
    Director:
Lynn Shelton
| 
    Stars:
Rosemarie DeWitt, 
Elliot Page, 
Josh Pais, 
Scoot McNairy
","3,615",88.0,0.04
Generation Iron,2013,"
Documentary, Drama, Sport            ",7.1,"
    Director:
Vlad Yudin
| 
    Stars:
Arnold Schwarzenegger, 
Mickey Rourke, 
Michael Jai White, 
Lou Ferrigno
","7,715",106.0,0.85
"Sleep, My Love",1948,"
Drama, Film-Noir, Mystery            ",6.8,"
    Director:
Douglas Sirk
| 
    Stars:
Claudette Colbert, 
Robert Cummings, 
Don Ameche, 
Rita Johnson
","1,631",97.0,1.8
Bethany Hamilton: Unstoppable,2018,"
Documentary, Sport            ",7.4,"
    Director:
Aaron Lieber
| 
    Stars:
Alana Blanchard, 
Adam Dirks, 
Tobias Dirks, 
Madison Graber
",619,100.0,0.59
Bettie Page Reveals All,2012,"
Documentary, Biography            ",7.1,"
    Director:
Mark Mori
| 
    Stars:
Bettie Page, 
Hugh Hefner, 
Olivia de Berardinis, 
Dita Von Teese
","1,459",101.0,0.1
The Short Game,2013,"
Documentary, Sport            ",7.3,"
    Director:
Josh Greenbaum
| 
    Stars:
Amari Avery, 
Jed Dy, 
Allan Kournikova, 
Zamokuhle Nxasana
","1,439",99.0,0.04
Al midan,2013,"
Documentary, Drama, History            ",8.1,"
    Director:
Jehane Noujaim
| 
    Stars:
Ahmed Hassan, 
Khalid Abdalla, 
Magdy Ashour, 
Ramy Essam
","8,795",108.0,0.12
Supermensch: The Legend of Shep Gordon,2013,"
Documentary, Biography, Music            ",7.4,"
    Directors:
Beth Aala, 
Mike Myers
| 
    Stars:
Shep Gordon, 
Sylvester Stallone, 
Michael Douglas, 
Alice Cooper
","3,218",85.0,0.21
Nanking,2007,"
Biography, History, War            ",7.6,"
    Directors:
Bill Guttentag, 
Dan Sturman
| 
    Stars:
Hugo Armstrong, 
Rosalind Chao, 
Stephen Dorff, 
John Getz
","3,416",90.0,0.16
Praia do Futuro,2014,"
Drama, Romance            ",6.4,"
    Director:
Karim Aïnouz
| 
    Stars:
Wagner Moura, 
Clemens Schick, 
Jesuíta Barbosa, 
Fred Lima
","2,939",106.0,0.02
Morris from America,2016,"
Comedy, Drama, Romance            ",6.2,"
    Director:
Chad Hartigan
| 
    Stars:
Markees Christmas, 
Craig Robinson, 
Carla Juri, 
Patrick Güldenberg
","5,201",91.0,0.09
Orgasm Inc.,2009,"
Documentary            ",5.9,"
    Director:
Elizabeth Canner
| 
    Stars:
Elizabeth Canner, 
Darby Stephens, 
Virgil Place, 
Leland Wilson
",535,73.0,0.05
Peter and the Farm,2016,"
Documentary            ",7.1,"
    Director:
Tony Stone
| 
    Star:
Peter Dunning
",713,91.0,0.02
Yosemite,2015,"
Drama            ",4.8,"
    Director:
Gabrielle Demeestere
| 
    Stars:
James Franco, 
Everett Meckler, 
Alec Mansky, 
Calum John
",830,80.0,0.01
I Called Him Morgan,2016,"
Documentary, Drama, History            ",7.3,"
    Director:
Kasper Collin
| 
    Stars:
Lee Morgan, 
Helen Morgan, 
Wayne Shorter, 
Larry Reni Thomas
","1,649",92.0,0.1
The Fluffy Movie: Unity Through Laughter,2014,"
Documentary, Comedy            ",7.3,"
    Directors:
Manny Rodriguez, 
Jay Lavender
| 
    Stars:
Gabriel Iglesias, 
Jacqueline Obradors, 
Gina Brillon, 
Alfred Robles
","3,726",101.0,2.83
King's Faith,2013,"
Drama            ",6.4,"
    Director:
Nicholas DiBella
| 
    Stars:
Crawford Wilson, 
Lynn Whitfield, 
James McDaniel, 
Kayla Compton
",744,108.0,0.09
The Sunshine Makers,2015,"
Documentary, History            ",7.0,"
    Director:
Cosmo Feilding-Mellen
| 
    Stars:
Tim Scully, 
Nick Sand, 
Alice Einhorn, 
Billy Hitchcock
","1,344",101.0,0.01
Alive Inside,2014,"
Documentary, News            ",8.2,"
    Director:
Michael Rossato-Bennett
| 
    Stars:
Dan Cohen, 
Louise Dueno, 
Nell Hardie, 
Norman Hardie
","3,058",78.0,0.15
Gimme the Loot,2012,"
Comedy, Crime, Drama            ",6.6,"
    Director:
Adam Leon
| 
    Stars:
Ty Hickson, 
Tashiana Washington, 
Joshua Rivera, 
Zoë Lescaze
","2,461",79.0,0.1
Kevin Hart: Let Me Explain,2013,"
Documentary, Comedy            ",6.8,"
    Directors:
Leslie Small, 
Tim Story
| 
    Stars:
Kevin Hart, 
Harry Ratchford, 
Will 'Spank' Horton, 
Joey Wells
","8,731",75.0,32.24
The Overnighters,2014,"
Documentary, Drama            ",7.4,"
    Director:
Jesse Moss
| 
    Stars:
Jay Reinke, 
Andrea Reinke, 
Alan Mezo, 
Shelly Schultz
","2,386",102.0,0.11
Video Games: The Movie,2014,"
Documentary, Animation, History            ",6.1,"
    Director:
Jeremy Snead
| 
    Stars:
Sean Astin, 
Al Alcorn, 
Peter Armstrong, 
Cliff Bleszinski
","5,421",101.0,0.02
War of the Worlds: Goliath,2012,"
Animation, Action, Adventure            ",5.4,"
    Director:
Joe Pearson
| 
    Stars:
Adam Baldwin, 
Beau Billingslea, 
Kim Buckingham, 
Jim Byrnes
","1,134",85.0,0.01
The Bad Kids,2016,"
Documentary            ",7.0,"
    Directors:
Keith Fulton, 
Louis Pepe
| 
    Stars:
Vonda Viland, 
Julia Alexander, 
Laura Ambrosius, 
Robert Bartz
",612,101.0,0.0
Good Ol' Freda,2013,"
Documentary, Biography, History            ",7.3,"
    Director:
Ryan White
| 
    Stars:
Freda Kelly, 
Paul McCartney, 
John Lennon, 
George Harrison
","1,930",86.0,0.14
The Music of Strangers,2015,"
Documentary, Music            ",7.7,"
    Director:
Morgan Neville
| 
    Stars:
Yo-Yo Ma, 
Kinan Azmeh, 
Kayhan Kalhor, 
Cristina Pato
",696,96.0,1.16
Life's a Breeze,2013,"
Comedy, Drama            ",6.3,"
    Director:
Lance Daly
| 
    Stars:
Kelly Thornton, 
Fionnula Flanagan, 
Pat Shortt, 
Eva Birthistle
","1,103",83.0,0.0
The Reconstruction of William Zero,2014,"
Drama, Mystery, Sci-Fi            ",5.4,"
    Director:
Dan Bush
| 
    Stars:
Conal Byrne, 
Amy Seimetz, 
Scott Poythress, 
Lake Roberts
","1,147",98.0,0.0
Dayveon,2017,"
Drama            ",6.3,"
    Director:
Amman Abbasi
| 
    Stars:
Devin Blackmon, 
Dontrell Bright, 
Lachion Buckingham, 
Kordell Johnson
",501,75.0,0.0
Green is Gold,2016,"
Crime, Drama            ",6.0,"
    Director:
Ryon Baxter
| 
    Stars:
Derek W. Adam, 
Jimmy Baxter, 
Ryon Baxter, 
Billy Bodie
",945,81.0,0.0
The Final Year,2017,"
Documentary            ",6.4,"
    Director:
Greg Barker
| 
    Stars:
Ben Rhodes, 
Samantha Power, 
John Kerry, 
Susan Rice
","3,191",89.0,0.19
Pandora's Promise,2013,"
Documentary            ",7.4,"
    Director:
Robert Stone
| 
    Stars:
Stewart Brand, 
Richard Rhodes, 
Gwyneth Cravens, 
Mark Lynas
","1,858",87.0,0.07
Revenge of the Electric Car,2011,"
Documentary            ",7.2,"
    Director:
Chris Paine
| 
    Stars:
Tim Robbins, 
Dan Neil, 
Danny DeVito, 
Ray Wert
","1,808",90.0,0.15
Being Elmo: A Puppeteer's Journey,2011,"
Documentary            ",7.6,"
    Directors:
Constance Marks, 
Philip Shane
| 
    Stars:
Kevin Clash, 
Whoopi Goldberg, 
Frank Oz, 
Bill Barretta
","6,897",80.0,0.3
Meet the Mormons,2014,"
Documentary            ",6.8,"
    Director:
Blair Treu
| 
    Stars:
Jermaine Sullivan, 
Ken Niumatalolo, 
Carolina Muñoz Marin, 
Bishnu Adhikari
","1,973",78.0,5.88
Dear Mr. Watterson,2013,"
Documentary            ",6.4,"
    Director:
Joel Allen Schroeder
| 
    Stars:
Berkeley Breathed, 
Jef Mallett, 
Stephan Pastis, 
Seth Green
","1,834",89.0,0.01
An Act of War,2015,"
Crime, Drama, Thriller            ",5.2,"
    Director:
Ryan M. Kennedy
| 
    Stars:
Russ Russo, 
Natasha Alam, 
Doug E. Doug, 
Joseph R. Gannascoli
","1,422",99.0,0.11
Hell and Back Again,2011,"
Documentary, Action, History            ",6.5,"
    Director:
Danfung Dennis
| 
    Stars:
Nathan Harris, 
Ashley Harris, 
The Marines of Echo Company, 
Christian Cabaniss
","2,236",88.0,0.04
The Waiting Room,2012,"
Documentary            ",7.1,"
    Director:
Peter Nicks
| 
    Star:
Sean Bennett
",785,81.0,0.24
Blood Brother,2013,"
Documentary            ",8.3,"
    Director:
Steve Hoover
| 
    Stars:
Rocky Braat, 
Steve Hoover, 
Anitha, 
Devi
","1,618",92.0,0.12
GMO OMG,2013,"
Documentary            ",6.4,"
    Director:
Jeremy Seifert
| 
    Stars:
Jeremy Seifert, 
Vandana Shiva, 
Cary Fowler, 
Dennis Kucinich
","1,445",90.0,0.04
Spark: A Burning Man Story,2013,"
Documentary, Action, Biography            ",6.2,"
    Directors:
Steve Brown, 
Jessie Deeter
| 
    Stars:
Harley K. Dubois, 
Marian Goodell, 
Larry Harvey, 
John Law
",562,90.0,0.12
The Comedians of Comedy,2005,"
Comedy, Documentary            ",7.3,"
    Director:
Michael Blieden
| 
    Stars:
Patton Oswalt, 
Brian Posehn, 
Maria Bamford, 
Zach Galifianakis
","2,558",103.0,0.0
Sunrise,2014,"
Crime, Drama, Mystery            ",6.3,"
    Director:
Partho Sen-Gupta
| 
    Stars:
Adil Hussain, 
Tannishtha Chatterjee, 
Gulnaaz Ansari, 
Komal Gupta
",279,85.0,0.0
The Search for General Tso,2014,"
Documentary, Comedy, History            ",6.9,"
    Director:
Ian Cheney
| 
    Stars:
Susan Carter, 
Ian Cheney, 
Philip Chiang, 
Andrew Coe
","1,726",71.0,0.01
The Garden,2008,"
Documentary            ",7.3,"
    Director:
Scott Hamilton Kennedy
| 
    Stars:
Danny Glover, 
Daryl Hannah, 
Antonio Villaraigosa
",716,80.0,0.03
Gore Vidal: The United States of Amnesia,2013,"
Documentary, Biography, History            ",7.7,"
    Director:
Nicholas D. Wrathall
| 
    Stars:
Gore Vidal, 
Howard Auster, 
James Best, 
Karen Black
","1,243",83.0,0.13
"Maxed Out: Hard Times, Easy Credit and the Era of Predatory Lenders",2006,"
Documentary            ",7.2,"
    Director:
James D. Scurlock
| 
    Stars:
Beth Naef, 
Mike Hudson, 
Louis C.K., 
Catherine Brown
","2,181",90.0,0.06
After Tiller,2013,"
Documentary, Biography, Drama            ",7.4,"
    Directors:
Martha Shane, 
Lana Wilson
| 
    Stars:
George Tiller, 
Warren Hern, 
Leroy Carhart, 
Susan Robinson
","1,046",85.0,0.07
Red Trees,2017,"
Documentary            ",6.4,"
    Director:
Marina Willer
| 
    Stars:
Alfred Willer, 
Tim Pigott-Smith, 
Flora Fanelli, 
Alfie Watson
",136,87.0,0.01
Big Words,2013,"
Comedy, Drama            ",5.9,"
    Director:
Neil Drumming
| 
    Stars:
Dorian Missick, 
Suzy Jane Hunt, 
Gbenga Akinnagbe, 
Darien Sills-Evans
",277,93.0,0.01
Roving Mars,2006,"
Documentary, Short            ",7.3,"
    Director:
George Butler
| 
    Stars:
Paul Newman, 
Steve Squyres, 
Rob Manning, 
Charles Elachi
","1,022",40.0,10.4
Making the Boys,2011,"
Documentary, Biography, Romance            ",7.3,"
    Director:
Crayton Robey
| 
    Stars:
Edward Albee, 
Joe Allen, 
Matt Baney, 
David Carter
",579,90.0,0.03
God Loves Uganda,2013,"
Documentary            ",7.4,"
    Director:
Roger Ross Williams
","1,179",83.0,0.05
Restless Creature: Wendy Whelan,2016,"
Documentary            ",7.1,"
    Directors:
Linda Saffire, 
Adam Schlesinger
| 
    Stars:
Peter Martins, 
David Prottas, 
Wendy Whelan
",361,90.0,0.13
Danny Says,2015,"
Documentary, Biography, History            ",6.7,"
    Director:
Brendan Toller
| 
    Stars:
Mx Justin Vivian Bond, 
John Cale, 
Judy Collins, 
Alice Cooper
",779,105.0,0.04
Facing Darkness,2017,"
Documentary, Drama            ",7.3,"
    Director:
Arthur Rasco
| 
    Stars:
Franklin Graham, 
Kent Brantly, 
Amber Brantly, 
Writebol Nancy
",88,93.0,0.56
Louder Than a Bomb,2010,"
Documentary            ",7.5,"
    Directors:
Greg Jacobs, 
Jon Siskel
| 
    Stars:
Kevin Coval, 
Adam Gottlieb, 
Elizabeth Graf, 
Kevin Harris
",373,99.0,0.04
Vidal Sassoon: The Movie,2010,"
Documentary            ",6.5,"
    Director:
Craig Teper
| 
    Stars:
Beverly Adams, 
Elgin Charles, 
Grace Coddington, 
Michael Gordon
",245,90.0,0.09
Men at Lunch,2012,"
Documentary, Mystery            ",6.3,"
    Director:
Seán Ó Cualáin
| 
    Stars:
Fionnula Flanagan, 
Peter Quinn, 
Ric Burns, 
Christine Roussel
",331,75.0,0.0
Decoding Deepak,2012,"
Documentary            ",5.5,"
    Director:
Gotham Chopra
| 
    Stars:
Deepak Chopra, 
Gotham Chopra
",124,83.0,0.01
Theo Who Lived,2016,"
Documentary            ",6.8,"
    Director:
David Schisgall
| 
    Star:
Theo Padnos
",111,86.0,0.01
Southern Justice,2006,"
Action, Adventure, Thriller            ",3.1,"
    Director:
M.D. Selig
| 
    Stars:
M.D. Selig, 
Michael Childers, 
Lisa Robert, 
Rico Cymone
",126,96.0,0.14
